_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
9486,2,Sunnyside Beach,23W,2016-07-04,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9487,2,Sunnyside Beach,17W,2016-07-04,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9488,2,Sunnyside Beach,18W,2016-07-04,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9489,2,Sunnyside Beach,22W,2016-07-04,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9490,2,Sunnyside Beach,19W,2016-07-04,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9491,2,Sunnyside Beach,20W,2016-07-04,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9492,2,Sunnyside Beach,21W,2016-07-04,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9493,1,Marie Curtis Park East Beach,29W,2016-07-03,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9494,1,Marie Curtis Park East Beach,33W,2016-07-03,620,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9495,1,Marie Curtis Park East Beach,32W,2016-07-03,160,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9496,1,Marie Curtis Park East Beach,31W,2016-07-03,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9497,1,Marie Curtis Park East Beach,30W,2016-07-03,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9498,2,Sunnyside Beach,23W,2016-07-03,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9499,2,Sunnyside Beach,17W,2016-07-03,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9500,2,Sunnyside Beach,18W,2016-07-03,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9501,2,Sunnyside Beach,22W,2016-07-03,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9502,2,Sunnyside Beach,19W,2016-07-03,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9503,2,Sunnyside Beach,20W,2016-07-03,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9504,2,Sunnyside Beach,21W,2016-07-03,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9505,1,Marie Curtis Park East Beach,29W,2016-07-02,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9506,1,Marie Curtis Park East Beach,33W,2016-07-02,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9507,1,Marie Curtis Park East Beach,32W,2016-07-02,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9508,1,Marie Curtis Park East Beach,31W,2016-07-02,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9509,1,Marie Curtis Park East Beach,30W,2016-07-02,10,<10,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9510,2,Sunnyside Beach,23W,2016-07-02,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9511,2,Sunnyside Beach,17W,2016-07-02,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9512,2,Sunnyside Beach,18W,2016-07-02,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9513,2,Sunnyside Beach,22W,2016-07-02,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9514,2,Sunnyside Beach,19W,2016-07-02,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9515,2,Sunnyside Beach,20W,2016-07-02,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9516,2,Sunnyside Beach,21W,2016-07-02,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9517,1,Marie Curtis Park East Beach,29W,2016-07-01,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9518,1,Marie Curtis Park East Beach,33W,2016-07-01,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9519,1,Marie Curtis Park East Beach,32W,2016-07-01,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9520,1,Marie Curtis Park East Beach,31W,2016-07-01,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9521,1,Marie Curtis Park East Beach,30W,2016-07-01,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
